GSM107847 GSM107848 GSM107849 GSM107851 GSM107852 GSM107853 GSM107854 GSM107855 GSM107856 GSM107857 GSM107858 GSM107859 GSM107860 GSM107861 GSM107862 GSM107863 GSM107864 GSM107865 GSM107866 GSM107867
DDR1 7.8201729899191 7.81985096237774 7.78133986147947 7.85976785502132 7.81023224624363 7.76310366885839 7.71524797671119 8.04320849497726 7.93899814835184 7.75593393332726 7.8426014907526 7.65715263019101 7.56133229922174 7.73415441515351 7.93380082549792 7.82855109890879 7.75418516775449 7.67997667183033 7.47028096596215 7.60934331891713
RFC2 8.58472042320341 8.73084108918094 8.63056168872366 8.39088525472627 8.37589706570706 8.88167944461632 8.97928799964934 8.84495363715136 8.83332086602335 8.72694525238383 8.59696205651732 8.92665366002179 8.71182522656756 8.90315097028104 8.40996543489494 8.17822837740118 8.46349941393202 9.0256051825816 8.53857990643795 8.79376082922765
HSPA6 7.65008901087072 7.8197845579136 7.74521835090931 6.96958168183962 6.96297080307203 7.4103914758962 7.5131579925803 7.66160818588518 7.26115728167367 7.18102342322545 7.26822459133052 7.19986398955893 7.00437920433217 7.30272618115414 7.05079584098333 7.1889228866397 7.24047491560484 7.61121201496201 7.50905959778318 7.88965863554783
PAX8 6.33738691270808 6.29056203173268 6.38661334158323 6.41013168221677 6.50897762189248 6.40832664984441 6.24664808110703 6.26699005966579 6.25634409271606 6.37134898513751 6.35298425122586 6.40502120419558 6.43074280076099 6.38778958104832 6.48174754434424 6.3777018145864 6.26917711573668 6.28973117074796 6.25373153774278 6.3906426385995
GUCA1A 6.439970713178 6.35097482224792 6.22674709409461 6.37589843879014 6.54182907202332 6.40550947474186 6.28974927395643 6.35058570036367 6.31276944928702 6.08633940244483 6.47953924345155 6.20771110698461 6.34060505360581 6.38788960548417 6.37555377763672 6.32850845981368 6.47729911600259 6.31433081677774 6.5007398163422 6.31277943053668
UBA7 6.45644973469153 6.45609613728125 6.57415693585516 6.50599451439412 6.59165248138382 6.35733916425154 6.36693926762372 6.42219793952201 6.44860317932556 6.36991003038777 6.56036561811009 6.48992261015415 6.43159939685635 6.41556677845126 6.50532164112177 6.6430137888831 6.47057138198253 6.4885911752793 6.49387601907745 6.48214309736741
THRA 6.50843581417194 6.42447732193886 6.49443405937601 6.4922645505008 6.45519578991805 6.48951978203031 6.54313947578246 6.52218837774748 6.32657897721132 6.50494761338024 6.40474312636741 6.49469997767506 6.37393221650162 6.42966557064782 6.49013810955437 6.54808070849951 6.51390507693773 6.3799322048462 6.31860779589808 6.54410284584049
PTPN21 6.18535515443207 5.98696365911318 6.24352682383071 6.08499562007937 6.15401036489513 6.25905847453963 6.27720413633381 6.23441414569486 6.22206568479883 6.24882011502683 6.16332060643757 6.29073387405102 6.16264316755024 6.12569425897143 6.04492229636845 6.2547425028274 6.31601118464627 6.21246314261955 6.26756310915264 6.2294937383403
CCL5 6.40360652648437 6.11212698208578 6.05631760289341 6.08499562007937 6.23636601988172 6.05224040008742 6.28974927395643 6.10806242129533 6.15008786256382 6.06155873030548 6.22107413543538 6.02579280575258 6.20413054417087 6.08672508734607 5.99964565787477 5.98506335914946 6.14142094922677 6.19588217604448 6.22640215385307 6.3305938600344
CYP2E1 5.92809908809625 6.02850563050099 6.06353119117397 6.07114846066704 5.95399523757432 6.01736894939713 6.00484474430259 5.94804225185167 5.92410719587592 6.09810899238152 6.02960329057217 6.05775045684794 6.09201723599393 5.94340402008346 6.03494759130579 6.05485047492699 5.96671934392876 6.0223337748549 5.84574163443821 6.0251645526018
EPHB3 8.83935040044846 9.08115269422158 8.99669270982314 8.77395132633275 8.81762578209339 9.04102636478752 9.10204440701024 9.23839546709785 9.24995850026061 9.15890192609323 9.19353492077292 9.13235278889194 8.78673743864942 9.240929409281 9.16002401217601 9.22175951273751 9.08470256030074 8.96846392671409 8.48065256856054 8.98338877878864
ESRRA 7.00459118382173 7.01500491932071 7.03002398450082 7.00402036644814 7.17609230671623 7.04829054492222 6.85655156965189 7.02385304007265 6.96113763921126 6.94361329065393 6.97910071857749 7.02227768538698 6.87396646548348 6.89081002112293 7.00654682963977 6.89376618940674 7.12988810228275 6.95885685051218 6.77919274260294 6.86717595596658
CYP2A6 6.45923752776326 6.58196984663414 6.48661826818088 6.39546207234935 6.48201531388698 6.43294007985896 6.28586239203845 6.26254845671419 6.40545214737454 6.25193986141309 6.40679394369468 6.2939865127896 6.55223702949532 6.35839445928925 6.4025625115711 6.5445857145159 6.38547597507899 6.40078035255304 6.41176550732145 6.44688063005672
SCARB1 6.68690239782503 6.38444870989909 6.78300441010076 6.58569224098799 6.52554386582482 6.4228131747028 6.26844069361259 6.70256681252133 6.12527451178532 6.41454415322997 6.29464951846809 6.14958364112222 6.32188145428812 6.35350708829248 6.58084654607176 6.23569624888228 6.0392257915138 6.1235582132018 6.58731514736903 6.51327750280107
TTLL12 7.86594849595856 7.98250822342495 7.77032801935022 7.88611211907178 7.72164095854203 7.9022626038048 7.99284733728852 7.8909082774895 7.96465391475313 7.93618821403465 7.86837179225066 7.81259672306304 7.77438799324987 7.99382284708735 7.9532675001943 7.95612863572665 7.76895301383064 7.90584432660273 7.65780885306956 7.8438109485711
NCRNA00152 6.20661811267654 6.29926110577619 6.56015372999423 6.21690795850193 6.40609002891287 6.20006529592745 6.13352410585859 6.39764577441997 6.22206568479883 6.08633940244483 6.12349249338088 6.51448715793923 6.43074280076099 6.33600359184927 6.19980835501287 6.15689259075718 6.46421186162133 6.17813823913714 6.26893412878487 6.34819099982766
WFDC2 6.00292947203597 6.20872605222063 6.42657684530587 6.39459465319009 6.49241137796013 6.27819872146998 6.24681266641643 6.30193865630594 6.17448165408976 6.24882011502683 6.46367664830472 6.39448444326125 6.39536058611827 6.37080076931979 6.26080006700498 6.38145867715544 6.34075603639036 6.39335278631622 6.38948760165701 6.29474227805631
